"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n4:actor)-[:ACTED_IN]->(n1:documentary), (n4:producer)-[:ACTED_IN]->(n2:documentary), (n4:actor)-[:PRODUCED]->(n3:comedy) WHERE (n4.name=""Tariq Ali"" AND n2.year=2008) OR (n3.year=1995 AND n3.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n4:actor)-[:ACTED_IN]->(n1:documentary), (n4:producer)-[:ACTED_IN]->(n2:documentary:year_2008), (n4:actor)-[:PRODUCED]->(n3:comedy)
  WHERE n4.name=""Tariq Ali""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actor)-[:ACTED_IN]->(n1:documentary), (n4:producer)-[:ACTED_IN]->(n2:documentary), (n4:actor)-[:PRODUCED]->(n3:comedy:year_1995:tvMovie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actor)-[:ACTED_IN]->(n1:documentary), (n4:producer)-[:ACTED_IN]->(n2:documentary:year_2008), (n4:actor)-[:PRODUCED]->(n3:comedy:year_1995:tvMovie)
  WHERE n4.name=""Tariq Ali""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"1446";"443654";"233.4"
"MATCH (n2:actor)-[:COMPOSED]->(n1:romance), (n2:composer)-[:ACTED_IN]->(n3:music), (n2:composer)-[:COMPOSED]->(n4:music) WHERE (n4.category=""video"" AND n3.category=""video"") OR (n2.birth=1943 AND n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:actor)-[:COMPOSED]->(n1:romance), (n2:composer)-[:ACTED_IN]->(n3:music:video), (n2:composer)-[:COMPOSED]->(n4:music:video)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actor:birth_1943:death_0)-[:COMPOSED]->(n1:romance), (n2:composer:birth_1943:death_0)-[:ACTED_IN]->(n3:music), (n2:composer:birth_1943:death_0)-[:COMPOSED]->(n4:music)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actor:birth_1943:death_0)-[:COMPOSED]->(n1:romance), (n2:composer:birth_1943:death_0)-[:ACTED_IN]->(n3:music:video), (n2:composer:birth_1943:death_0)-[:COMPOSED]->(n4:music:video)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"26045";"1326501";"435.4"
"MATCH (n3:writer)-[:DIRECTED]->(n1:western), (n3:director)-[:DIRECTED]->(n4:drama), (n3:writer)-[:DIRECTED]->(n2:romance) WHERE (n3.birth=1924 AND n2.category=""movie"") OR (n1.category=""movie"" AND n4.year=1970) RETURN count(n1)";"CALL () {
  MATCH (n3:writer:birth_1924)-[:DIRECTED]->(n1:western), (n3:director:birth_1924)-[:DIRECTED]->(n4:drama), (n3:writer:birth_1924)-[:DIRECTED]->(n2:romance:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer)-[:DIRECTED]->(n1:western:movie), (n3:director)-[:DIRECTED]->(n4:drama:year_1970), (n3:writer)-[:DIRECTED]->(n2:romance)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer:birth_1924)-[:DIRECTED]->(n1:western:movie), (n3:director:birth_1924)-[:DIRECTED]->(n4:drama:year_1970), (n3:writer:birth_1924)-[:DIRECTED]->(n2:romance:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"11866";"1311976";"259.8"
"MATCH (n3:actor)-[:ACTED_IN]->(n4:drama), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n3:stunts)-[:ACTED_IN]->(n1:crime) WHERE (n4.year=2014 AND n4.category=""short"") OR (n3.birth=0 AND n3.death=0) RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n4:drama:year_2014:short), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n3:stunts)-[:ACTED_IN]->(n1:crime)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor:birth_0:death_0)-[:ACTED_IN]->(n4:drama), (n3:actor:birth_0:death_0)-[:ACTED_IN]->(n2:documentary), (n3:stunts:birth_0:death_0)-[:ACTED_IN]->(n1:crime)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:birth_0:death_0)-[:ACTED_IN]->(n4:drama:year_2014:short), (n3:actor:birth_0:death_0)-[:ACTED_IN]->(n2:documentary), (n3:stunts:birth_0:death_0)-[:ACTED_IN]->(n1:crime)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"657268";"16723337";"1842.6"
"MATCH (n3:director)-[:PRODUCED]->(n4:comedy), (n3:producer)-[:PRODUCED]->(n2:drama), (n3:director)-[:PRODUCED]->(n1:documentary) WHERE (n1.year=1912 AND n2.year=1913) OR (n1.category=""short"" AND n4.year=1912) RETURN count(n1)";"CALL () {
  MATCH (n3:director)-[:PRODUCED]->(n4:comedy), (n3:producer)-[:PRODUCED]->(n2:drama:year_1913), (n3:director)-[:PRODUCED]->(n1:documentary:year_1912)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:director)-[:PRODUCED]->(n4:comedy:year_1912), (n3:producer)-[:PRODUCED]->(n2:drama), (n3:director)-[:PRODUCED]->(n1:documentary:short)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:director)-[:PRODUCED]->(n4:comedy:year_1912), (n3:producer)-[:PRODUCED]->(n2:drama:year_1913), (n3:director)-[:PRODUCED]->(n1:documentary:year_1912:short)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"-";"100%";"131522131";"1216872403";"177109.7"
"MATCH (n2:producer)-[:WROTE]->(n3:drama), (n2:writer)-[:WROTE]->(n1:comedy), (n2:writer)-[:DIRECTED]->(n4:comedy) WHERE (n2.name=""Ra̼l de Anda"" AND n2.birth=1908) OR (n3.category=""movie"" AND n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:producer:birth_1908)-[:WROTE]->(n3:drama), (n2:writer:birth_1908)-[:WROTE]->(n1:comedy), (n2:writer:birth_1908)-[:DIRECTED]->(n4:comedy)
  WHERE n2.name=""Ra̼l de Anda""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:producer)-[:WROTE]->(n3:drama:movie), (n2:writer)-[:WROTE]->(n1:comedy:movie), (n2:writer)-[:DIRECTED]->(n4:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:producer:birth_1908)-[:WROTE]->(n3:drama:movie), (n2:writer:birth_1908)-[:WROTE]->(n1:comedy:movie), (n2:writer:birth_1908)-[:DIRECTED]->(n4:comedy)
  WHERE n2.name=""Ra̼l de Anda""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"517024";"12152860";"4013.0"
"MATCH (n2:writer)-[:ACTED_IN]->(n4:reality_tv), (n2:writer)-[:ACTED_IN]->(n3:crime), (n2:writer)-[:ACTED_IN]->(n1:drama) WHERE (n3.year=2001 AND n2.name=""Jennie Garth"") OR (n2.birth=1972 AND n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:writer)-[:ACTED_IN]->(n4:reality_tv), (n2:writer)-[:ACTED_IN]->(n3:crime:year_2001), (n2:writer)-[:ACTED_IN]->(n1:drama)
  WHERE n2.name=""Jennie Garth""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n4:reality_tv), (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n3:crime), (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n1:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n4:reality_tv), (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n3:crime:year_2001), (n2:writer:birth_1972:death_0)-[:ACTED_IN]->(n1:drama)
  WHERE n2.name=""Jennie Garth""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B) OR (C AND D)";"A";"75%";"295096";"6816819";"879.5"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:adult), (n3:director)-[:ACTED_IN]->(n2:adult) WHERE (n3.birth=1955 AND n1.category=""movie"") OR (n2.category=""video"" AND n3.name=""Hank Armstrong"") OR (n1.year=1997 AND n2.year=1996) RETURN count(n1)";"CALL () {
  MATCH (n3:actor:birth_1955)-[:ACTED_IN]->(n1:adult:movie), (n3:director:birth_1955)-[:ACTED_IN]->(n2:adult)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:adult), (n3:director)-[:ACTED_IN]->(n2:adult:video)
  WHERE n3.name=""Hank Armstrong""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:adult:year_1997), (n3:director)-[:ACTED_IN]->(n2:adult:year_1996)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actor:birth_1955)-[:ACTED_IN]->(n1:adult:movie), (n3:director:birth_1955)-[:ACTED_IN]->(n2:adult:video)
  WHERE n3.name=""Hank Armstrong""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actor:birth_1955)-[:ACTED_IN]->(n1:adult:movie:year_1997), (n3:director:birth_1955)-[:ACTED_IN]->(n2:adult:year_1996)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:adult:year_1997), (n3:director)-[:ACTED_IN]->(n2:adult:video:year_1996)
  WHERE n3.name=""Hank Armstrong""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actor:birth_1955)-[:ACTED_IN]->(n1:adult:movie:year_1997), (n3:director:birth_1955)-[:ACTED_IN]->(n2:adult:video:year_1996)
  WHERE n3.name=""Hank Armstrong""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"227710";"6394891";"1608.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:action), (n1:actress)-[:ACTED_IN]->(n2:horror) WHERE (n1.name=""Irene Arcila"" AND n1.birth=0) OR (n3.year=2004 AND n2.category=""video"") OR (n1.death=0 AND n3.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:actress:birth_0)-[:ACTED_IN]->(n3:action), (n1:actress:birth_0)-[:ACTED_IN]->(n2:horror)
  WHERE n1.name=""Irene Arcila""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:action:year_2004), (n1:actress)-[:ACTED_IN]->(n2:horror:video)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:action:video), (n1:actress:death_0)-[:ACTED_IN]->(n2:horror)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:actress:birth_0)-[:ACTED_IN]->(n3:action:year_2004), (n1:actress:birth_0)-[:ACTED_IN]->(n2:horror:video)
  WHERE n1.name=""Irene Arcila""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:actress:birth_0:death_0)-[:ACTED_IN]->(n3:action:video), (n1:actress:birth_0:death_0)-[:ACTED_IN]->(n2:horror)
  WHERE n1.name=""Irene Arcila""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:action:year_2004:video), (n1:actress:death_0)-[:ACTED_IN]->(n2:horror:video)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:actress:birth_0:death_0)-[:ACTED_IN]->(n3:action:year_2004:video), (n1:actress:birth_0:death_0)-[:ACTED_IN]->(n2:horror:video)
  WHERE n1.name=""Irene Arcila""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"16777";"5033096";"4883.8"
"MATCH (n3:production_manager)-[:PRODUCED]->(n1:drama), (n3:production_manager)-[:PRODUCED]->(n2:comedy) WHERE (n3.birth=1924 AND n3.name=""Ben Arbeid"") OR (n1.category=""movie"" AND n2.category=""movie"") OR (n3.death=1992 AND n1.year=1963) RETURN count(n1)";"CALL () {
  MATCH (n3:production_manager:birth_1924)-[:PRODUCED]->(n1:drama), (n3:production_manager:birth_1924)-[:PRODUCED]->(n2:comedy)
  WHERE n3.name=""Ben Arbeid""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:production_manager)-[:PRODUCED]->(n1:drama:movie), (n3:production_manager)-[:PRODUCED]->(n2:comedy:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:production_manager:death_1992)-[:PRODUCED]->(n1:drama:year_1963), (n3:production_manager:death_1992)-[:PRODUCED]->(n2:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:production_manager:birth_1924)-[:PRODUCED]->(n1:drama:movie), (n3:production_manager:birth_1924)-[:PRODUCED]->(n2:comedy:movie)
  WHERE n3.name=""Ben Arbeid""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:production_manager:birth_1924:death_1992)-[:PRODUCED]->(n1:drama:year_1963), (n3:production_manager:birth_1924:death_1992)-[:PRODUCED]->(n2:comedy)
  WHERE n3.name=""Ben Arbeid""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:production_manager:death_1992)-[:PRODUCED]->(n1:drama:movie:year_1963), (n3:production_manager:death_1992)-[:PRODUCED]->(n2:comedy:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:production_manager:birth_1924:death_1992)-[:PRODUCED]->(n1:drama:movie:year_1963), (n3:production_manager:birth_1924:death_1992)-[:PRODUCED]->(n2:comedy:movie)
  WHERE n3.name=""Ben Arbeid""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"132343";"3158479";"1523.9"
"MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary), (n3:editorial_department)-[:EDITED]->(n2:biography) WHERE (n1.category=""movie"" AND n3.name=""Michel Klochendler"") OR (n1.year=2015 AND n2.year=2019) OR (n3.birth=1957 AND n3.death=0) RETURN count(n1)";"CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:movie), (n3:editorial_department)-[:EDITED]->(n2:biography)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:year_2015), (n3:editorial_department)-[:EDITED]->(n2:biography:year_2019)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:movie:year_2015), (n3:editorial_department)-[:EDITED]->(n2:biography:year_2019)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:movie), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:year_2015), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography:year_2019)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:movie:year_2015), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography:year_2019)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"950";"295510";"248.1"
"MATCH (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:crime), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:adventure) WHERE (n2.year=1950 AND n3.death=1967) OR (n1.year=1941 AND n3.birth=1890) OR (n1.category=""movie"" AND n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:camera_department:death_1967)-[:CINEMATOGRAPHER_OF]->(n1:crime), (n3:cinematographer:death_1967)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:camera_department:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941), (n3:cinematographer:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:crime:movie), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:adventure:movie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:camera_department:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941), (n3:cinematographer:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:camera_department:death_1967)-[:CINEMATOGRAPHER_OF]->(n1:crime:movie), (n3:cinematographer:death_1967)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950:movie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:camera_department:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941:movie), (n3:cinematographer:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:camera_department:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941:movie), (n3:cinematographer:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950:movie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"50615";"6108311";"4171.4"
"MATCH (n2:actress)-[:ACTED_IN]->(n3:family), (n2:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n3.category=""tvMovie"" AND n2.birth=1941) OR (n2.name=""Senta Berger"" AND n1.year=2016) OR (n2.death=0 AND n1.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n2:actress:birth_1941)-[:ACTED_IN]->(n3:family:tvMovie), (n2:soundtrack:birth_1941)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n3:family), (n2:soundtrack)-[:ACTED_IN]->(n1:comedy:year_2016)
  WHERE n2.name=""Senta Berger""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actress:death_0)-[:ACTED_IN]->(n3:family), (n2:soundtrack:death_0)-[:ACTED_IN]->(n1:comedy:tvMovie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:actress:birth_1941)-[:ACTED_IN]->(n3:family:tvMovie), (n2:soundtrack:birth_1941)-[:ACTED_IN]->(n1:comedy:year_2016)
  WHERE n2.name=""Senta Berger""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:actress:birth_1941:death_0)-[:ACTED_IN]->(n3:family:tvMovie), (n2:soundtrack:birth_1941:death_0)-[:ACTED_IN]->(n1:comedy:tvMovie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:actress:death_0)-[:ACTED_IN]->(n3:family), (n2:soundtrack:death_0)-[:ACTED_IN]->(n1:comedy:year_2016:tvMovie)
  WHERE n2.name=""Senta Berger""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:actress:birth_1941:death_0)-[:ACTED_IN]->(n3:family:tvMovie), (n2:soundtrack:birth_1941:death_0)-[:ACTED_IN]->(n1:comedy:year_2016:tvMovie)
  WHERE n2.name=""Senta Berger""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"179624";"7684258";"4344.4"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:documentary), (n3:soundtrack)-[:ACTED_IN]->(n2:documentary) WHERE (n3.name=""Andie MacDowell"" AND n3.death=0) OR (n1.year=2012 AND n1.category=""video"") OR (n3.birth=1958 AND n2.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n3:producer:death_0)-[:ACTED_IN]->(n1:documentary), (n3:soundtrack:death_0)-[:ACTED_IN]->(n2:documentary)
  WHERE n3.name=""Andie MacDowell""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:producer)-[:ACTED_IN]->(n1:documentary:year_2012:video), (n3:soundtrack)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:producer:birth_1958)-[:ACTED_IN]->(n1:documentary), (n3:soundtrack:birth_1958)-[:ACTED_IN]->(n2:documentary:tvMovie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:producer:death_0)-[:ACTED_IN]->(n1:documentary:year_2012:video), (n3:soundtrack:death_0)-[:ACTED_IN]->(n2:documentary)
  WHERE n3.name=""Andie MacDowell""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:producer:death_0:birth_1958)-[:ACTED_IN]->(n1:documentary), (n3:soundtrack:death_0:birth_1958)-[:ACTED_IN]->(n2:documentary:tvMovie)
  WHERE n3.name=""Andie MacDowell""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:producer:birth_1958)-[:ACTED_IN]->(n1:documentary:year_2012:video), (n3:soundtrack:birth_1958)-[:ACTED_IN]->(n2:documentary:tvMovie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:producer:death_0:birth_1958)-[:ACTED_IN]->(n1:documentary:year_2012:video), (n3:soundtrack:death_0:birth_1958)-[:ACTED_IN]->(n2:documentary:tvMovie)
  WHERE n3.name=""Andie MacDowell""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"13423";"2675593";"2074.0"
"MATCH (n1:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:fantasy) WHERE (n2.year=1986 AND n1.name=""Kenneth Anger"") OR (n3.category=""short"" AND n2.category=""movie"") OR (n1.birth=1927 AND n3.year=2000) RETURN count(n1)";"CALL () {
  MATCH (n1:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_1986), (n1:writer)-[:DIRECTED]->(n3:fantasy)
  WHERE n1.name=""Kenneth Anger""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:movie), (n1:writer)-[:DIRECTED]->(n3:fantasy:short)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:writer:birth_1927)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n1:writer:birth_1927)-[:DIRECTED]->(n3:fantasy:year_2000)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_1986:movie), (n1:writer)-[:DIRECTED]->(n3:fantasy:short)
  WHERE n1.name=""Kenneth Anger""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:writer:birth_1927)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_1986), (n1:writer:birth_1927)-[:DIRECTED]->(n3:fantasy:year_2000)
  WHERE n1.name=""Kenneth Anger""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:writer:birth_1927)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:movie), (n1:writer:birth_1927)-[:DIRECTED]->(n3:fantasy:short:year_2000)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:writer:birth_1927)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_1986:movie), (n1:writer:birth_1927)-[:DIRECTED]->(n3:fantasy:short:year_2000)
  WHERE n1.name=""Kenneth Anger""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"58";"400372";"289.9"
"MATCH (n2:writer)-[:WROTE]->(n1:western), (n2:writer)-[:WROTE]->(n4:musical), (n2:writer)-[:WROTE]->(n3:western) WHERE (n2.birth=1900 AND n3.year=1964) OR (n2.name=""Gerald Drayson Adams"" AND n4.year=1945) OR (n1.category=""movie"" AND n4.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:writer:birth_1900)-[:WROTE]->(n1:western), (n2:writer:birth_1900)-[:WROTE]->(n4:musical), (n2:writer:birth_1900)-[:WROTE]->(n3:western:year_1964)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:writer)-[:WROTE]->(n1:western), (n2:writer)-[:WROTE]->(n4:musical:year_1945), (n2:writer)-[:WROTE]->(n3:western)
  WHERE n2.name=""Gerald Drayson Adams""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:writer)-[:WROTE]->(n1:western:movie), (n2:writer)-[:WROTE]->(n4:musical:movie), (n2:writer)-[:WROTE]->(n3:western)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:writer:birth_1900)-[:WROTE]->(n1:western), (n2:writer:birth_1900)-[:WROTE]->(n4:musical:year_1945), (n2:writer:birth_1900)-[:WROTE]->(n3:western:year_1964)
  WHERE n2.name=""Gerald Drayson Adams""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:writer:birth_1900)-[:WROTE]->(n1:western:movie), (n2:writer:birth_1900)-[:WROTE]->(n4:musical:movie), (n2:writer:birth_1900)-[:WROTE]->(n3:western:year_1964)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:writer)-[:WROTE]->(n1:western:movie), (n2:writer)-[:WROTE]->(n4:musical:year_1945:movie), (n2:writer)-[:WROTE]->(n3:western)
  WHERE n2.name=""Gerald Drayson Adams""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:writer:birth_1900)-[:WROTE]->(n1:western:movie), (n2:writer:birth_1900)-[:WROTE]->(n4:musical:year_1945:movie), (n2:writer:birth_1900)-[:WROTE]->(n3:western:year_1964)
  WHERE n2.name=""Gerald Drayson Adams""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"157805";"106937516";"8888.4"
