"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy:year_2007:tvSpecial) RETURN count(n1)";"A AND B";"-";"100%";"5491";"132662169";"33158.5"
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:documentary:year_2016) RETURN count(n1)";"A AND B";"-";"100%";"54953";"192577887";"31964.9"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1)";"MATCH (n2:cinematographer:death_1933)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer:death_1933)-[:CINEMATOGRAPHER_OF]->(n3:documentary:year_1899) RETURN count(n1)";"A AND B";"-";"100%";"2848";"19944515";"2292.7"
"MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1)";"MATCH (n3:producer:death_0)-[:PRODUCED]->(n2:sport), (n3:writer:death_0)-[:PRODUCED]->(n4:drama:year_2008), (n3:producer:death_0)-[:WROTE]->(n1:drama) RETURN count(n1)";"A AND B";"-";"100%";"655155";"25639940";"2942.4"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1)";"MATCH (n3:writer:death_0)-[:ACTED_IN]->(n1:documentary), (n3:actor:death_0)-[:ACTED_IN]->(n4:documentary:year_2004), (n3:producer:death_0)-[:ACTED_IN]->(n2:thriller) RETURN count(n1)";"A AND B";"-";"100%";"127171";"109332371";"14564.8"
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_2011), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"") RETURN count(n1)";"A AND B";"A";"50%";"6";"19987446";"2568.9"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show:year_2009) WHERE (n3.name=""John Sayles"") RETURN count(n1)";"A AND B";"A";"50%";"18";"23646809";"4209.2"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"MATCH (n3:music_department:birth_1937)-[:COMPOSED]->(n2:documentary), (n3:music_department:birth_1937)-[:COMPOSED]->(n1:documentary:video) WHERE (n3.name=""Philip Glass"") RETURN count(n1)";"A AND B AND C";"A";"67%";"603";"20337411";"2880.5"
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy) WHERE (n1.category=""movie"" AND n2.name=""John McDermott"" AND n2.birth=1893) RETURN count(n1)";"MATCH (n2:director:birth_1893)-[:ACTED_IN]->(n3:comedy), (n2:actor:birth_1893)-[:WROTE]->(n1:comedy:movie) WHERE (n2.name=""John McDermott"") RETURN count(n1)";"A AND B AND C";"A";"67%";"465";"20672029";"2617.7"
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy) WHERE (n2.category=""movie"" AND n3.birth=0 AND n3.name=""Jorge Busto"") RETURN count(n1)";"MATCH (n3:script_department:birth_0)-[:EDITED]->(n1:drama), (n3:miscellaneous:birth_0)-[:EDITED]->(n4:drama), (n3:editor:birth_0)-[:EDITED]->(n2:comedy:movie) WHERE (n3.name=""Jorge Busto"") RETURN count(n1)";"A AND B AND C";"A";"67%";"2057928";"47959943";"6428.0"
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war) WHERE (n4.birth=0 AND n4.name=""Guy Gonçalves"" AND n3.year=1997) RETURN count(n1)";"MATCH (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director:birth_0)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n3:war:year_1997) WHERE (n4.name=""Guy Gonçalves"") RETURN count(n1)";"A AND B AND C";"A";"67%";"3";"20133638";"2846.6"
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"MATCH (n1:actress:birth_1966)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous:birth_1966)-[:ACTED_IN]->(n3:adult), (n1:actress:birth_1966)-[:ACTED_IN]->(n4:adult:year_1995) WHERE (n1.name=""Christy Canyon"") RETURN count(n1)";"A AND B AND C";"A";"67%";"95910";"20339221";"2346.9"
