"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1)";"MATCH (n2:cinematographer:death_1933)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer:death_1933)-[:CINEMATOGRAPHER_OF]->(n3:documentary:year_1899) RETURN count(n1)";"A AND B";"-";"100%";"2848";"54580";"23.0"
"MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1)";"MATCH (n3:producer:death_0)-[:PRODUCED]->(n2:sport), (n3:writer:death_0)-[:PRODUCED]->(n4:drama:year_2008), (n3:producer:death_0)-[:WROTE]->(n1:drama) RETURN count(n1)";"A AND B";"-";"100%";"655155";"45690025";"4338.5"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1)";"MATCH (n3:writer:death_0)-[:ACTED_IN]->(n1:documentary), (n3:actor:death_0)-[:ACTED_IN]->(n4:documentary:year_2004), (n3:producer:death_0)-[:ACTED_IN]->(n2:thriller) RETURN count(n1)";"A AND B";"-";"100%";"127171";"4357163";"736.6"
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary:year_2011), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"") RETURN count(n1)";"A AND B";"A";"50%";"6";"50";"11.8"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show:year_2009) WHERE (n3.name=""John Sayles"") RETURN count(n1)";"A AND B";"A";"50%";"18";"4280";"16.6"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"MATCH (n3:music_department:birth_1937)-[:COMPOSED]->(n2:documentary), (n3:music_department:birth_1937)-[:COMPOSED]->(n1:documentary:video) WHERE (n3.name=""Philip Glass"") RETURN count(n1)";"A AND B AND C";"A";"67%";"603";"4044";"13.4"
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy) WHERE (n1.category=""movie"" AND n2.name=""John McDermott"" AND n2.birth=1893) RETURN count(n1)";"MATCH (n2:director:birth_1893)-[:ACTED_IN]->(n3:comedy), (n2:actor:birth_1893)-[:WROTE]->(n1:comedy:movie) WHERE (n2.name=""John McDermott"") RETURN count(n1)";"A AND B AND C";"A";"67%";"465";"1636";"14.8"
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy) WHERE (n2.category=""movie"" AND n3.birth=0 AND n3.name=""Jorge Busto"") RETURN count(n1)";"MATCH (n3:script_department:birth_0)-[:EDITED]->(n1:drama), (n3:miscellaneous:birth_0)-[:EDITED]->(n4:drama), (n3:editor:birth_0)-[:EDITED]->(n2:comedy:movie) WHERE (n3.name=""Jorge Busto"") RETURN count(n1)";"A AND B AND C";"A";"67%";"2057928";"26939306";"2168.3"
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war) WHERE (n4.birth=0 AND n4.name=""Guy Gonçalves"" AND n3.year=1997) RETURN count(n1)";"MATCH (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director:birth_0)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n3:war:year_1997) WHERE (n4.name=""Guy Gonçalves"") RETURN count(n1)";"A AND B AND C";"A";"67%";"3";"440";"16.4"
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"MATCH (n1:actress:birth_1966)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous:birth_1966)-[:ACTED_IN]->(n3:adult), (n1:actress:birth_1966)-[:ACTED_IN]->(n4:adult:year_1995) WHERE (n1.name=""Christy Canyon"") RETURN count(n1)";"A AND B AND C";"A";"67%";"95910";"359826";"71.0"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:soundtrack:death_1976)-[:ACTED_IN]->(n2:drama:movie), (n3:soundtrack:death_1976)-[:ACTED_IN]->(n1:comedy:movie) RETURN count(n1)";"A AND B AND C";"-";"100%";"7306";"154693";"43.5"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:producer)-[:ACTED_IN]->(n1:drama) WHERE (n3.category=""video"" AND n1.category=""movie"" AND n2.name=""Kevin Costner"") RETURN count(n1)";"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary:video), (n2:producer)-[:ACTED_IN]->(n1:drama:movie) WHERE (n2.name=""Kevin Costner"") RETURN count(n1)";"A AND B AND C";"A";"67%";"858";"25055";"26.0"
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n3.category=""short"" AND n2.name=""Steven Allen"" AND n1.category=""short"") RETURN count(n1)";"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy:short), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller:short), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n2.name=""Steven Allen"") RETURN count(n1)";"A AND B AND C";"A";"67%";"42";"285";"20.8"
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n1.category=""movie"" AND n3.name=""Ellsworth Fredericks"" AND n4.category=""movie"") RETURN count(n1)";"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama:movie), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller:movie), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n3.name=""Ellsworth Fredericks"") RETURN count(n1)";"A AND B AND C";"A";"67%";"474";"25333";"27.4"
"MATCH (n3:producer)-[:EDITED]->(n1:documentary), (n3:editor)-[:EDITED]->(n2:documentary) WHERE (n1.category=""movie"" AND n1.year=2010 AND n2.category=""video"") RETURN count(n1)";"MATCH (n3:producer)-[:EDITED]->(n1:documentary:movie:year_2010), (n3:editor)-[:EDITED]->(n2:documentary:video) RETURN count(n1)";"A AND B AND C";"-";"100%";"169";"224537";"82.2"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n3:news) WHERE (n3.category=""video"" AND n2.category=""movie"" AND n2.year=1974) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama:movie:year_1974), (n1:actor)-[:ACTED_IN]->(n3:news:video) RETURN count(n1)";"A AND B AND C";"-";"100%";"11";"1107785";"269.3"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy), (n1:actress)-[:ACTED_IN]->(n2:comedy), (n1:actress)-[:ACTED_IN]->(n4:comedy) WHERE (n3.year=1976 AND n2.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy:year_1976:movie), (n1:actress)-[:ACTED_IN]->(n2:comedy:movie), (n1:actress)-[:ACTED_IN]->(n4:comedy) RETURN count(n1)";"A AND B AND C";"-";"100%";"596043";"4538852";"542.7"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:drama), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n3.death=0 AND n1.category=""movie"" AND n2.year=1988) RETURN count(n1)";"MATCH (n3:producer:death_0)-[:ACTED_IN]->(n1:drama:movie), (n3:director:death_0)-[:ACTED_IN]->(n2:drama:year_1988) RETURN count(n1)";"A AND B AND C";"-";"100%";"22066";"6359181";"700.2"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:mystery) WHERE (n3.year=2010 AND n1.death=0 AND n2.category=""movie"") RETURN count(n1)";"MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:drama:year_2010), (n1:actress:death_0)-[:ACTED_IN]->(n2:mystery:movie) RETURN count(n1)";"A AND B AND C";"-";"100%";"19918";"3994870";"2618.0"
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n2.year=1973 AND n3.name=""Hasan El-Emam"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:actor)-[:DIRECTED]->(n2:drama:year_1973:movie), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n3.name=""Hasan El-Emam"") RETURN count(n1)";"A AND B AND C";"A";"67%";"82";"420";"10.4"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvMovie"" AND n3.year=1962 AND n2.year=1958) RETURN count(n1)";"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama:year_1958), (n1:actress)-[:ACTED_IN]->(n3:drama:tvMovie:year_1962) RETURN count(n1)";"A AND B AND C";"-";"100%";"377";"140873";"67.4"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:drama), (n4:soundtrack)-[:WROTE]->(n3:drama), (n4:director)-[:DIRECTED]->(n1:drama) WHERE (n1.year=1913 AND n2.year=1935 AND n3.category=""short"") RETURN count(n1)";"MATCH (n4:actor)-[:ACTED_IN]->(n2:drama:year_1935), (n4:soundtrack)-[:WROTE]->(n3:drama:short), (n4:director)-[:DIRECTED]->(n1:drama:year_1913) RETURN count(n1)";"A AND B AND C";"-";"100%";"18";"18584";"29.7"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n4.year=2005 AND n3.year=2016 AND n1.death=0) RETURN count(n1)";"MATCH (n1:actor:death_0)-[:ACTED_IN]->(n2:drama), (n1:actor:death_0)-[:ACTED_IN]->(n4:documentary:year_2005), (n1:actor:death_0)-[:ACTED_IN]->(n3:documentary:year_2016) RETURN count(n1)";"A AND B AND C";"-";"100%";"394549";"27775363";"4923.3"
