kueri asal;kueri numerik;filter pertama
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy)-[:HAS_CATEGORY]->(:movie) , (n3:script_department)-[:BORN_IN]->(:year_0) WHERE (n3.name=""Jorge Busto"") RETURN count(n1)";"MATCH (n3:21,987) -[11,327]-[390,703]-> (n1:1,984,332), (n3:228,889) -[117,573]-[390,703]-> (n4:1,984,332), (n3:257,000) -[1,326,183]-[274,400]-> (n2:1,479,294) -[1,479,294]-[492,210]-> (:1) , (n3:21,987) -[21,987]-[3,209,521]-> (:1) WHERE (n3.name=""Jorge Busto"") RETURN count(n1)";:movie
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war)-[:RELEASED_IN]->(:year_1997) , (n4:camera_department)-[:BORN_IN]->(:year_0) WHERE (n4.name=""Guy Gonçalves"") RETURN count(n1)";"MATCH (n4:186,421) -[910,837]-[94,191]-> (n1:489,281), (n4:560,717) -[267,819]-[312,480]-> (n2:1,479,294), (n4:186,421) -[910,837]-[12,134]-> (n3:26,911) -[26,911]-[57,892]-> (:1) , (n4:186,421) -[186,421]-[3,209,521]-> (:1) WHERE (n4.name=""Guy Gonçalves"") RETURN count(n1)";:year_1997
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult)-[:RELEASED_IN]->(:year_1995) , (n1:actress)-[:BORN_IN]->(:year_1966) WHERE (n1.name=""Christy Canyon"") RETURN count(n1)";"MATCH (n1:767,812) -[60,446]-[43,237]-> (n2:222,819), (n1:228,889) -[1,338,470]-[783,767]-> (n3:222,819), (n1:767,812) -[8,169,427]-[783,767]-> (n4:222,819) -[222,819]-[52,210]-> (:1) , (n1:767,812) -[767,812]-[4,463]-> (:1) WHERE (n1.name=""Christy Canyon"") RETURN count(n1)";:year_1995
MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama)-[:HAS_CATEGORY]->(:movie), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:movie) , (n3:soundtrack)-[:DIED_IN]->(:year_1976) RETURN count(n1);MATCH (n3:99,799) -[3,260,775]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:99,799) -[3,260,775]-[5,776,115]-> (n1:1,479,294) -[1,479,294]-[492,210]-> (:1) , (n3:99,799) -[99,799]-[1,152]-> (:1) RETURN count(n1);:movie
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary)-[:HAS_CATEGORY]->(:video), (n2:producer)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:movie) WHERE (n2.name=""Kevin Costner"") RETURN count(n1)";"MATCH (n2:99,799) -[3,260,775]-[827,125]-> (n3:618,520) -[618,520]-[265,757]-> (:1), (n2:613,186) -[3,852,407]-[8,160,487]-> (n1:1,984,332) -[1,984,332]-[492,210]-> (:1) WHERE (n2.name=""Kevin Costner"") RETURN count(n1)";:video
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:short), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller)-[:HAS_CATEGORY]->(:short), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n2.name=""Steven Allen"") RETURN count(n1)";"MATCH (n2:36,300) -[40,185]-[5,776,115]-> (n1:1,479,294) -[1,479,294]-[639,766]-> (:1), (n2:36,300) -[40,185]-[472,757]-> (n3:124,666) -[124,666]-[639,766]-> (:1), (n2:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) WHERE (n2.name=""Steven Allen"") RETURN count(n1)";:short
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama)-[:HAS_CATEGORY]->(:movie), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller)-[:HAS_CATEGORY]->(:movie), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n3.name=""Ellsworth Fredericks"") RETURN count(n1)";"MATCH (n3:284,302) -[1,367,616]-[581,332]-> (n1:1,984,332) -[1,984,332]-[492,210]-> (:1), (n3:284,302) -[1,367,616]-[50,177]-> (n4:124,666) -[124,666]-[492,210]-> (:1), (n3:186,421) -[910,837]-[91,877]-> (n2:312,629) WHERE (n3.name=""Ellsworth Fredericks"") RETURN count(n1)";:movie
MATCH (n3:producer)-[:EDITED]->(n1:documentary)-[:HAS_CATEGORY]->(:movie), (n3:editor)-[:EDITED]->(n2:documentary)-[:HAS_CATEGORY]->(:video) , (n1:documentary)-[:RELEASED_IN]->(:year_2010) RETURN count(n1);MATCH (n3:613,186) -[210,501]-[239,358]-> (n1:618,520) -[618,520]-[492,210]-> (:1), (n3:257,000) -[1,326,183]-[239,358]-> (n2:618,520) -[618,520]-[265,757]-> (:1) , (n1:618,520) -[618,520]-[201,811]-> (:1) RETURN count(n1);:movie
MATCH (n1:actor)-[:ACTED_IN]->(n2:drama)-[:HAS_CATEGORY]->(:movie), (n1:actor)-[:ACTED_IN]->(n3:news)-[:HAS_CATEGORY]->(:video) , (n2:drama)-[:RELEASED_IN]->(:year_1974) RETURN count(n1);MATCH (n1:1,263,984) -[11,460,681]-[8,160,487]-> (n2:1,984,332) -[1,984,332]-[492,210]-> (:1), (n1:1,263,984) -[11,460,681]-[859,718]-> (n3:408,975) -[408,975]-[265,757]-> (:1) , (n2:1,984,332) -[1,984,332]-[23,132]-> (:1) RETURN count(n1);:movie
MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy)-[:RELEASED_IN]->(:year_1976), (n1:actress)-[:ACTED_IN]->(n2:comedy)-[:HAS_CATEGORY]->(:movie), (n1:actress)-[:ACTED_IN]->(n4:comedy) , (n3:comedy)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);MATCH (n1:767,812) -[8,169,427]-[5,776,115]-> (n3:1,479,294) -[1,479,294]-[22,926]-> (:1), (n1:767,812) -[8,169,427]-[5,776,115]-> (n2:1,479,294) -[1,479,294]-[492,210]-> (:1), (n1:767,812) -[8,169,427]-[5,776,115]-> (n4:1,479,294) , (n3:1,479,294) -[1,479,294]-[492,210]-> (:1) RETURN count(n1);:year_1976
