kueri asal;kueri numerik;filter pertama
MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1);MATCH (n1:767,812) -[8,169,427]-[8,160,487]-> (n3:1,984,332), (n1:767,812) -[8,169,427]-[8,160,487]-> (n2:1,984,332) WHERE (n1.3,677 AND n2.31,942) RETURN count(n1);n1:actress
MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1);MATCH (n4:76,607) -[955,171]-[152,376]-> (n2:618,520), (n4:99,799) -[628,532]-[152,376]-> (n1:618,520), (n4:99,799) -[628,532]-[16,167]-> (n3:137,057) WHERE (n3.5,763 AND n4.1,754) RETURN count(n1);n3:sport
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";MATCH (n3:613,186) -[1,743,713]-[304,392]-> (n1:330,135), (n3:560,717) -[4,398,352]-[304,392]-> (n2:330,135) WHERE (n2.639,766 AND n3.1,540) RETURN count(n1);n1:animation
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";MATCH (n1:613,186) -[3,852,407]-[783,767]-> (n4:222,819), (n1:560,717) -[562,157]-[11,023]-> (n3:222,819), (n1:1,263,984) -[11,460,681]-[783,767]-> (n2:222,819) WHERE (n3.265,757 AND n2.265,757) RETURN count(n1);n3:adult
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";MATCH (n1:767,812) -[109,240]-[284,671]-> (n3:644,609), (n1:99,799) -[3,260,775]-[472,757]-> (n4:124,666), (n1:99,799) -[3,260,775]-[8,160,487]-> (n2:1,984,332) WHERE (n4.116,975 AND n2.492,210) RETURN count(n1);n1:soundtrack
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";MATCH (n2:560,717) -[2,315,792]-[1,056,053]-> (n1:273,401), (n2:560,717) -[2,315,792]-[2,907,409]-> (n3:644,609) WHERE (n2.1,075 AND n3.492,210) RETURN count(n1);n1:adventure
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";MATCH (n3:76,607) -[955,171]-[127,344]-> (n1:644,609), (n3:76,607) -[955,171]-[152,376]-> (n2:618,520) WHERE (n1.492,210 AND n3.2,348) RETURN count(n1);n3:music_department
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:1,263,984) -[11,460,681]-[371,509]-> (n1:137,057), (n2:1,263,984) -[11,460,681]-[371,509]-> (n3:137,057), (n2:21,182) -[172,580]-[371,509]-> (n4:137,057) WHERE (n4.26,082 AND n2.name=""Sam Anoai"") RETURN count(n1)";n2:stunts
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"MATCH (n2:248,066) -[477,897]-[1,199,835]-> (n4:356,267), (n2:99,799) -[3,260,775]-[827,125]-> (n3:618,520), (n2:248,066) -[477,897]-[1,199,835]-> (n1:356,267) WHERE (n1.265,757 AND n2.name=""Bob Geldof"") RETURN count(n1)";n2:soundtrack
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";MATCH (n1:1,263,984) -[11,460,681]-[827,125]-> (n2:618,520), (n1:1,263,984) -[11,460,681]-[1,056,053]-> (n3:273,401) WHERE (n3.492,210 AND n2.154,677) RETURN count(n1);n3:adventure
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";MATCH (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n3:1,479,294), (n1:1,263,984) -[11,460,681]-[5,776,115]-> (n2:1,479,294) WHERE (n3.162,227 AND n3.12,315) RETURN count(n1);n1:actor
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";MATCH (n2:560,717) -[2,315,792]-[8,160,487]-> (n3:1,984,332), (n2:1,263,984) -[11,460,681]-[95,675]-> (n1:26,911) WHERE (n1.116,975 AND n3.36,334) RETURN count(n1);n1:war
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";MATCH (n2:1,263,984) -[11,460,681]-[827,125]-> (n1:618,520), (n3:683,795) -[3,960,419]-[827,125]-> (n1:618,520), (n3:1,263,984) -[11,460,681]-[5,776,115]-> (n4:1,479,294) WHERE (n4.154,677 AND n4.26,082) RETURN count(n1);n1:documentary
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";MATCH (n3:683,795) -[3,960,419]-[1,056,053]-> (n4:273,401), (n3:683,795) -[3,960,419]-[1,979,368]-> (n2:773,293), (n3:1,263,984) -[11,460,681]-[827,125]-> (n1:618,520) WHERE (n1.315,054 AND n2.162,227) RETURN count(n1);n4:adventure
MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1);MATCH (n2:284,302) -[1,367,616]-[13,630]-> (n1:408,975), (n2:613,186) -[179,006]-[232,968]-> (n3:618,520) WHERE (n2.314 AND n3.1,011) RETURN count(n1);n1:news
MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1);MATCH (n3:613,186) -[2,464,941]-[40,037]-> (n2:137,057), (n3:683,795) -[607,136]-[996,207]-> (n4:1,984,332), (n3:613,186) -[2,014,325]-[2,854,122]-> (n1:1,984,332) WHERE (n4.166,310 AND n3.3,453,973) RETURN count(n1);n2:sport
